Theta/θ Phi/φ Chi/χ Potential/H
0.0 0.0 0.0 -220.997845450000
0.0 0.0 0.0 -220.997902430000
0.0 0.0 0.0 -220.998042980000
0.0 0.0 0.0 -220.998139070000
0.0 0.0 0.0 -220.998197130000
0.0 0.0 0.0 -220.998226660000
0.0 0.0 0.0 -220.998282700000
0.0 0.0 0.0 -220.998301800000
0.0 0.0 0.0 -220.998320960000
0.0 0.0 0.0 -220.998336440000
0.0 0.0 1.25663706144 -220.997709020000
0.0 0.0 1.25663706144 -220.997716270000
0.0 0.0 1.25663706144 -220.997721510000
0.0 0.0 1.25663706144 -220.997755420000
0.0 0.0 1.25663706144 -220.997762050000
0.0 0.0 1.25663706144 -220.997864290000
0.0 0.0 1.25663706144 -220.998010090000
0.0 0.0 1.25663706144 -220.998147200000
0.0 0.0 1.25663706144 -220.998166380000
0.0 0.0 1.25663706144 -220.998210470000
0.0 0.0 2.51327412287 -220.997324430000
0.0 0.0 2.51327412287 -220.997362290000
0.0 0.0 2.51327412287 -220.997367670000
0.0 0.0 2.51327412287 -220.997461350000
0.0 0.0 2.51327412287 -220.997471450000
0.0 0.0 2.51327412287 -220.997558640000
0.0 0.0 2.51327412287 -220.997627060000
0.0 0.0 2.51327412287 -220.997654880000
0.0 0.0 2.51327412287 -220.997661010000
0.0 0.0 2.51327412287 -220.997669400000
0.0 0.0 3.76991118431 -220.997444820000
0.0 0.0 3.76991118431 -220.997471450000
0.0 0.0 3.76991118431 -220.997510710000
0.0 0.0 3.76991118431 -220.997576180000
0.0 0.0 3.76991118431 -220.997604730000
0.0 0.0 3.76991118431 -220.997632940000
0.0 0.0 3.76991118431 -220.997685620000
0.0 0.0 3.76991118431 -220.997706860000
0.0 0.0 3.76991118431 -220.997730910000
0.0 0.0 3.76991118431 -220.997747010000
0.0 0.0 5.02654824574 -220.997779520000
0.0 0.0 5.02654824574 -220.997801700000
0.0 0.0 5.02654824574 -220.997810990000
0.0 0.0 5.02654824574 -220.997863910000
0.0 0.0 5.02654824574 -220.997896250000
0.0 0.0 5.02654824574 -220.997922810000
0.0 0.0 5.02654824574 -220.997993910000
0.0 0.0 5.02654824574 -220.998039290000
0.0 0.0 5.02654824574 -220.998083810000
0.0 0.0 5.02654824574 -220.998166380000
0.0 0.628318530718 0.0 -220.996794280000
0.0 0.628318530718 0.0 -220.996853830000
0.0 0.628318530718 0.0 -220.997023450000
0.0 0.628318530718 0.0 -220.997079190000
0.0 0.628318530718 0.0 -220.997226250000
0.0 0.628318530718 0.0 -220.997239570000
0.0 0.628318530718 0.0 -220.997370950000
0.0 0.628318530718 0.0 -220.997419530000
0.0 0.628318530718 0.0 -220.997477720000
0.0 0.628318530718 0.0 -220.997503280000
0.0 0.628318530718 1.25663706144 -220.997635860000
0.0 0.628318530718 1.25663706144 -220.997638280000
0.0 0.628318530718 1.25663706144 -220.997654530000
0.0 0.628318530718 1.25663706144 -220.997662050000
0.0 0.628318530718 1.25663706144 -220.997685010000
0.0 0.628318530718 1.25663706144 -220.997738210000
0.0 0.628318530718 1.25663706144 -220.997807100000
0.0 0.628318530718 1.25663706144 -220.997809810000
0.0 0.628318530718 1.25663706144 -220.997870250000
0.0 0.628318530718 1.25663706144 -220.997877410000
0.0 0.628318530718 2.51327412287 -220.997564760000
0.0 0.628318530718 2.51327412287 -220.997587790000
0.0 0.628318530718 2.51327412287 -220.997604860000
0.0 0.628318530718 2.51327412287 -220.997679700000
0.0 0.628318530718 2.51327412287 -220.997689350000
0.0 0.628318530718 2.51327412287 -220.997800900000
0.0 0.628318530718 2.51327412287 -220.997817920000
0.0 0.628318530718 2.51327412287 -220.997925780000
0.0 0.628318530718 2.51327412287 -220.997952530000
0.0 0.628318530718 2.51327412287 -220.998029700000
0.0 0.628318530718 3.76991118431 -220.997737810000
0.0 0.628318530718 3.76991118431 -220.997739280000
0.0 0.628318530718 3.76991118431 -220.997770730000
0.0 0.628318530718 3.76991118431 -220.997794010000
0.0 0.628318530718 3.76991118431 -220.997807800000
0.0 0.628318530718 3.76991118431 -220.997906490000
0.0 0.628318530718 3.76991118431 -220.997971240000
0.0 0.628318530718 3.76991118431 -220.998031260000
0.0 0.628318530718 3.76991118431 -220.998080750000
0.0 0.628318530718 3.76991118431 -220.998103630000
0.0 0.628318530718 5.02654824574 -220.997457020000
0.0 0.628318530718 5.02654824574 -220.997480450000
0.0 0.628318530718 5.02654824574 -220.997534260000
0.0 0.628318530718 5.02654824574 -220.997666490000
0.0 0.628318530718 5.02654824574 -220.997802060000
0.0 0.628318530718 5.02654824574 -220.997910830000
0.0 0.628318530718 5.02654824574 -220.997921250000
0.0 0.628318530718 5.02654824574 -220.997986020000
0.0 0.628318530718 5.02654824574 -220.998010550000
0.0 0.628318530718 5.02654824574 -220.998024650000
0.0 1.25663706144 0.0 -220.996273670000
0.0 1.25663706144 0.0 -220.996395210000
0.0 1.25663706144 0.0 -220.996584950000
0.0 1.25663706144 0.0 -220.996681290000
0.0 1.25663706144 0.0 -220.996760150000
0.0 1.25663706144 0.0 -220.996863230000
0.0 1.25663706144 0.0 -220.996878200000
0.0 1.25663706144 0.0 -220.996943290000
0.0 1.25663706144 0.0 -220.996955150000
0.0 1.25663706144 0.0 -220.996971600000
0.0 1.25663706144 1.25663706144 -220.995102100000
0.0 1.25663706144 1.25663706144 -220.995164960000
0.0 1.25663706144 1.25663706144 -220.996055180000
0.0 1.25663706144 1.25663706144 -220.996104780000
0.0 1.25663706144 1.25663706144 -220.996376730000
0.0 1.25663706144 1.25663706144 -220.996422480000
0.0 1.25663706144 1.25663706144 -220.996656170000
0.0 1.25663706144 1.25663706144 -220.997346210000
0.0 1.25663706144 1.25663706144 -220.997429970000
0.0 1.25663706144 1.25663706144 -220.997488160000
0.0 1.25663706144 2.51327412287 -220.997319430000
0.0 1.25663706144 2.51327412287 -220.997350460000
0.0 1.25663706144 2.51327412287 -220.997365460000
0.0 1.25663706144 2.51327412287 -220.997460140000
0.0 1.25663706144 2.51327412287 -220.997473780000
0.0 1.25663706144 2.51327412287 -220.997621950000
0.0 1.25663706144 2.51327412287 -220.997627120000
0.0 1.25663706144 2.51327412287 -220.997803460000
0.0 1.25663706144 2.51327412287 -220.997927710000
0.0 1.25663706144 2.51327412287 -220.997952600000
0.0 1.25663706144 3.76991118431 -220.997029300000
0.0 1.25663706144 3.76991118431 -220.997117700000
0.0 1.25663706144 3.76991118431 -220.997136840000
0.0 1.25663706144 3.76991118431 -220.997435810000
0.0 1.25663706144 3.76991118431 -220.997815990000
0.0 1.25663706144 3.76991118431 -220.997830620000
0.0 1.25663706144 3.76991118431 -220.998091030000
0.0 1.25663706144 3.76991118431 -220.998172840000
0.0 1.25663706144 3.76991118431 -220.998295210000
0.0 1.25663706144 3.76991118431 -220.998339670000
0.0 1.25663706144 5.02654824574 -220.994996410000
0.0 1.25663706144 5.02654824574 -220.995392320000
0.0 1.25663706144 5.02654824574 -220.995692950000
0.0 1.25663706144 5.02654824574 -220.996237470000
0.0 1.25663706144 5.02654824574 -220.996890210000
0.0 1.25663706144 5.02654824574 -220.997023600000
0.0 1.25663706144 5.02654824574 -220.997301500000
0.0 1.25663706144 5.02654824574 -220.997503490000
0.0 1.25663706144 5.02654824574 -220.997541240000
0.0 1.25663706144 5.02654824574 -220.997602650000
0.0 1.88495559215 0.0 -220.997389950000
0.0 1.88495559215 0.0 -220.997413400000
0.0 1.88495559215 0.0 -220.997423230000
0.0 1.88495559215 0.0 -220.997462750000
0.0 1.88495559215 0.0 -220.997530510000
0.0 1.88495559215 0.0 -220.997540030000
0.0 1.88495559215 0.0 -220.997627660000
0.0 1.88495559215 0.0 -220.997725510000
0.0 1.88495559215 0.0 -220.997912730000
0.0 1.88495559215 0.0 -220.998017380000
0.0 1.88495559215 1.25663706144 -220.996615030000
0.0 1.88495559215 1.25663706144 -220.996641950000
0.0 1.88495559215 1.25663706144 -220.996805700000
0.0 1.88495559215 1.25663706144 -220.996872490000
0.0 1.88495559215 1.25663706144 -220.997149510000
0.0 1.88495559215 1.25663706144 -220.997227050000
0.0 1.88495559215 1.25663706144 -220.997528660000
0.0 1.88495559215 1.25663706144 -220.997599870000
0.0 1.88495559215 1.25663706144 -220.997822040000
0.0 1.88495559215 1.25663706144 -220.997952020000
0.0 1.88495559215 2.51327412287 -220.995687330000
0.0 1.88495559215 2.51327412287 -220.996072910000
0.0 1.88495559215 2.51327412287 -220.996111220000
0.0 1.88495559215 2.51327412287 -220.996236450000
0.0 1.88495559215 2.51327412287 -220.996447550000
0.0 1.88495559215 2.51327412287 -220.996782630000
0.0 1.88495559215 2.51327412287 -220.997072860000
0.0 1.88495559215 2.51327412287 -220.997213860000
0.0 1.88495559215 2.51327412287 -220.997250870000
0.0 1.88495559215 2.51327412287 -220.997326890000
0.0 1.88495559215 3.76991118431 -220.995040390000
0.0 1.88495559215 3.76991118431 -220.995736180000
0.0 1.88495559215 3.76991118431 -220.996011440000
0.0 1.88495559215 3.76991118431 -220.996121570000
0.0 1.88495559215 3.76991118431 -220.996169960000
0.0 1.88495559215 3.76991118431 -220.996219820000
0.0 1.88495559215 3.76991118431 -220.996980030000
0.0 1.88495559215 3.76991118431 -220.997151350000
0.0 1.88495559215 3.76991118431 -220.997381590000
0.0 1.88495559215 3.76991118431 -220.997453760000
0.0 1.88495559215 5.02654824574 -220.996954710000
0.0 1.88495559215 5.02654824574 -220.997021480000
0.0 1.88495559215 5.02654824574 -220.997047920000
0.0 1.88495559215 5.02654824574 -220.997286220000
0.0 1.88495559215 5.02654824574 -220.997305660000
0.0 1.88495559215 5.02654824574 -220.997509500000
0.0 1.88495559215 5.02654824574 -220.997575450000
0.0 1.88495559215 5.02654824574 -220.997717460000
0.0 1.88495559215 5.02654824574 -220.997787730000
0.0 1.88495559215 5.02654824574 -220.997835260000
0.0 2.51327412287 0.0 -220.997590640000
0.0 2.51327412287 0.0 -220.997615500000
0.0 2.51327412287 0.0 -220.997639700000
